0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:08:47 -0300] "GET /PI-AssistenciaTecnica/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:09 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:09 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:09 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:09 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:09 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:10 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:12 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_orcamento.html HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:12 -0300] "GET /PI-AssistenciaTecnica/js/recepcao.js HTTP/1.1" 200 8169
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:12 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:14 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_cliente.html HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:14 -0300] "GET /PI-AssistenciaTecnica/js/recepcao.js HTTP/1.1" 200 8169
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:14 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:14 -0300] "GET /PI-AssistenciaTecnica/imgs/edit.png HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:14 -0300] "GET /PI-AssistenciaTecnica/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:25 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:25 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:25 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:25 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 1625
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:25 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:26 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:28 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_cliente.html HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:28 -0300] "GET /PI-AssistenciaTecnica/js/recepcao.js HTTP/1.1" 200 8169
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:28 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:28 -0300] "GET /PI-AssistenciaTecnica/imgs/edit.png HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:28 -0300] "GET /PI-AssistenciaTecnica/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:39 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:39 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:39 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:39 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:39 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:39 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:40 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_cliente.html HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:40 -0300] "GET /PI-AssistenciaTecnica/js/recepcao.js HTTP/1.1" 200 8169
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:40 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:40 -0300] "GET /PI-AssistenciaTecnica/imgs/edit.png HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:40 -0300] "GET /PI-AssistenciaTecnica/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:50 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:50 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:50 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:50 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:50 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:52 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_cliente.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:52 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:10:55 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:11:42 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:11:42 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:11:42 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:11:42 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:11:42 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:11:44 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_cliente.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:11:44 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:11:54 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:11:54 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:11:54 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1070
