0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:02:29 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:02:29 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:02:29 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:02:29 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:02:30 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:02:36 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:02:48 -0300] "POST /PI-AssistenciaTecnica/rest/servicos/cadastrarOrcamento HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:02:57 -0300] "POST /PI-AssistenciaTecnica/rest/servicos/cadastrarOrcamento HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:02:59 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/consulta_orcamento/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:02:59 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_aprovarOrcamento.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:02:59 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:03:00 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:03:09 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:03:09 -0300] "GET /PI-AssistenciaTecnica/css/manutencao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:03:09 -0300] "GET /PI-AssistenciaTecnica/css/general.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:03:09 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/geral/cabecalho.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:03:11 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/funcoes/consulta_orcamento/ HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:03:11 -0300] "GET /PI-AssistenciaTecnica/js/manutencao_consultaOrcamento.js HTTP/1.1" 200 10661
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:03:11 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:03:12 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:03:39 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/realizaOrcamento HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:03:39 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:03:41 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=3 HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:03:57 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/realizaOrcamento HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:03:57 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:03:59 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=2 HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:06 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/realizaOrcamento HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:06 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:16 -0300] "GET /PI-AssistenciaTecnica/pages/almoxarife/ HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:16 -0300] "GET /PI-AssistenciaTecnica/css/almoxarife.css HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:16 -0300] "GET /PI-AssistenciaTecnica/pages/almoxarife/geral/cabecalho.html HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:17 -0300] "GET /PI-AssistenciaTecnica/pages/almoxarife/funcao/verifica_item/ HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:17 -0300] "GET /PI-AssistenciaTecnica/js/almoxarife_verificarItem.js HTTP/1.1" 200 5553
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:17 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:19 -0300] "GET /PI-AssistenciaTecnica/pages/almoxarife/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:21 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:24 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 760
