0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:03 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:04 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:08 -0300] "POST /PI-AssistenciaTecnica/rest/cliente/cadastrar HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:08 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:14 -0300] "POST /PI-AssistenciaTecnica/rest/cliente/cadastrar HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:14 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:17 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_orcamento/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:17 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_cadastroOrcamento.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:17 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:25 -0300] "POST /PI-AssistenciaTecnica/rest/servicos/cadastrarOrcamento HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:33 -0300] "POST /PI-AssistenciaTecnica/rest/servicos/cadastrarOrcamento HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:43 -0300] "POST /PI-AssistenciaTecnica/rest/servicos/cadastrarOrcamento HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:50 -0300] "POST /PI-AssistenciaTecnica/rest/servicos/cadastrarOrcamento HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:54 -0300] "GET /PI-AssistenciaTecnica/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:54 -0300] "GET /PI-AssistenciaTecnica/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:54 -0300] "GET /PI-AssistenciaTecnica/imgs/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:54 -0300] "GET /PI-AssistenciaTecnica/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:58 -0300] "POST /PI-AssistenciaTecnica/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:58 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:58 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/ HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:58 -0300] "GET /PI-AssistenciaTecnica/css/manutencao.css HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:58 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:58 -0300] "GET /PI-AssistenciaTecnica/css/general.css HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:58 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:58 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:03:58 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/geral/cabecalho.html HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:01 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/funcoes/consulta_orcamento/ HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:01 -0300] "GET /PI-AssistenciaTecnica/js/manutencao_consultaOrcamento.js HTTP/1.1" 200 10668
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:01 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 1282
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:02 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:02 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:02 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:02 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:02 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:02 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_222222_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:02 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:09 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:09 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:09 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/realizaOrcamento HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:09 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:11 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=2 HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:17 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/realizaOrcamento HTTP/1.1" 200 35
