127.0.0.1 - - [16/Feb/2022:19:21:43 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:28 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:28 -0300] "GET /PI-AssistenciaTecnica/css/almoxarife.css HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:28 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:28 -0300] "GET /PI-AssistenciaTecnica/pages/almoxarife/geral/cabecalho.html HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:38 -0300] "GET /PI-AssistenciaTecnica/pages/almoxarife HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:38 -0300] "GET /PI-AssistenciaTecnica/css/general.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:40 -0300] "GET /PI-AssistenciaTecnica/pages/almoxarife/funcao/verifica_item/ HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:40 -0300] "GET /PI-AssistenciaTecnica/js/almoxarife_verificarItem.js HTTP/1.1" 200 5553
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:40 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:44 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_orcamento/ HTTP/1.1" 200 1392
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:44 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_cadastroOrcamento.js HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:44 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:48 -0300] "POST /PI-AssistenciaTecnica/rest/servicos/cadastrarOrcamento HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:48 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:48 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5873
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:48 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:48 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4618
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:48 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_222222_256x240.png HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:48 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:48 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:49 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:52 -0300] "POST /PI-AssistenciaTecnica/rest/servicos/cadastrarOrcamento HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:56 -0300] "POST /PI-AssistenciaTecnica/rest/servicos/cadastrarOrcamento HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:59 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/consulta_orcamento/ HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:59 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_aprovarOrcamento.js HTTP/1.1" 200 8975
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:22:59 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:01 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/funcoes/consulta_orcamento/ HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:01 -0300] "GET /PI-AssistenciaTecnica/js/manutencao_consultaOrcamento.js HTTP/1.1" 200 10661
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:01 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:02 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:07 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:08 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:08 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/realizaOrcamento HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:08 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:09 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=2 HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:14 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/realizaOrcamento HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:14 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 926
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:16 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=3 HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:28 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/realizaOrcamento HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:28 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:29 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=4 HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:43 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/realizaOrcamento HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:43 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:46 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/funcoes/consulta_ordemServico/ HTTP/1.1" 200 1672
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:46 -0300] "GET /PI-AssistenciaTecnica/js/manutencao_consultaOS.js HTTP/1.1" 200 5147
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:46 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:49 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/consulta_orcamento/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:49 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_aprovarOrcamento.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:49 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:50 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:52 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/aprovarOrcamento/1/3 HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:52 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:54 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=4 HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:55 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/aprovarOrcamento/4/3 HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:55 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:57 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=3 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:57 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/aprovarOrcamento/3/-1 HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:57 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:23:59 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=3 HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:00 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=2 HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:01 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/aprovarOrcamento/2/4 HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:01 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:04 -0300] "GET /PI-AssistenciaTecnica/pages/almoxarife/funcao/verifica_item/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:04 -0300] "GET /PI-AssistenciaTecnica/js/almoxarife_verificarItem.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:04 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:05 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:05 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:05 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:05 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_222222_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:05 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:06 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/aprovarOrcamento/1/4 HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:06 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:07 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=4 HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:08 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/aprovarOrcamento/4/4 HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:08 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:13 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/consulta_orcamento/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:13 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_aprovarOrcamento.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:13 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:15 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/consulta_ordemServico/ HTTP/1.1" 200 1670
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:15 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_consultaOS.js HTTP/1.1" 200 5259
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:15 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:16 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:21 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/funcoes/consulta_ordemServico/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:21 -0300] "GET /PI-AssistenciaTecnica/js/manutencao_consultaOS.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:21 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:24:21 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:21 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/ HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:21 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 2319
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:21 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:21 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 38140
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:21 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:22 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:25 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/consulta_ordemServico/ HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:25 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_consultaOS.js HTTP/1.1" 200 6496
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:25 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:27 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:27 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:27 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:27 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:27 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:27 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_222222_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:27 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:27 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:37 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/ HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:37 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 2319
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:37 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:37 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 38140
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:37 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:48 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/ HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:48 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 2319
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:48 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:48 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 38140
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:48 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:48 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 200 1807
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:52 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/consulta_ordemServico/ HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:52 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_consultaOS.js HTTP/1.1" 200 6496
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:52 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:54 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:54 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:54 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5873
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:54 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:54 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4618
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:26:54 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_222222_256x240.png HTTP/1.1" 200 7025
